sector_name,lat,long,address,zone,sector_type,population,housing,income,housing_size,amount_waste,amount_waste_kg,waste_rate,edit_date
ทน.เชียงราย,19.91139766,99.82627739,59 ถนน อุตรกิจ ตำบลเวียง อำเภอเมืองเชียงราย เชียงราย 57000,ภาคเหนือ,เทศบาลนคร (ทน.),77545.00,50608.00,NaN,1.53,100.04,100040.00,1.29,01-06-22
ทน.เชียงใหม่,18.7952846,98.99859495,1 ถนน วังสิงห์คำ ตำบล ช้างม่อย อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300,ภาคเหนือ,เทศบาลนคร (ทน.),120787.00,90147.00,NaN,1.34,300.00,300000.00,2.48,01-06-22
ทต.สารภี,18.68214276,99.04168617,156 ม.4 ถนน เชียงใหม่-ลำพูน ตำบล สารภี อำเภอ สารภี เชียงใหม่ 50140,ภาคเหนือ,เทศบาลตำบล (ทต.),6585.00,2678.00,96098.59,2.46,NaN,NaN,NaN,01-06-22
ทต.หนองป่าครั่ง,18.78580952,99.03732671,15 หมู่ 3 ตำบลหนองป่าครั่ง อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000,ภาคเหนือ,เทศบาลตำบล (ทต.),7297.00,5977.00,NaN,1.22,14.03,14030.00,1.92,01-06-22
อบต.สันกลาง ,18.64683653,98.88577528,ตำบลสันกลาง อำเภอสันกำแพง เชียงใหม่ 50130,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),5893.00,3081.00,80698.00,1.91,NaN,NaN,NaN,01-06-22
ทม.เชียงใหม่,18.83624996,98.97270558,1 ถนน วังสิงห์คำ ตำบล ช้างม่อย อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300,ภาคเหนือ,เทศบาลเมือง (ทม.),12859.00,5696.00,80135.13,2.26,5.80,5800.00,0.45,01-06-22
ทต.บ้านหลวง,18.49068194,98.67455854,"1 หมู่ 20 ถนน จอมทอง อิน ท นนท์ เชียงใหม่ 50160, ตำบล บ้านหลวง อำเภอจอมทอง เชียงใหม่ 50160",ภาคเหนือ,เทศบาลตำบล (ทต.),13598.00,4008.00,35000.00,3.39,5.80,5800.00,0.43,01-06-22
ทต.เชิงดอย,18.87082447,99.15222849, ตำบล เชิงดอย อำเภอดอยสะเก็ด เชียงใหม่ 50220,ภาคเหนือ,เทศบาลตำบล (ทต.),4042.00,2122.00,NaN,1.90,NaN,NaN,NaN,01-06-22
ทต.ฟ้าฮ่าม,18.8145366,99.00720893,1 ถนน แอสฟัลท์ติกตามแบบองค์การบริหารส่วนตำบลฟ้าฮ่ามบ้านท่ากระดาษ ตำบล ฟ้าฮ่าม อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000,ภาคเหนือ,เทศบาลตำบล (ทต.),7024.00,9594.00,85000.00,0.73,NaN,NaN,NaN,01-06-22
อบต.ท่าตอน,20.05733869,99.35884335,559 ห้วยมะเฟือง ซอย 2 หมู่ 2 ตำบลท่าตอน ตำบล ท่าตอน อำเภอ แม่อาย เชียงใหม่ 50280,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),21461.00,8470.00,10000.00,2.53,5.00,5000.00,0.23,01-06-22
