y1,a1,a2,a3,a4,cons,x
183.00,1,0,0,0,1,142197.00
50.00,0,0,1,0,1,29343.00
37.85,0,0,1,0,1,36886.00
42.00,0,0,1,0,1,23828.00
5.00,0,0,1,0,1,6179.00
150.00,0,0,1,0,1,76971.00
20.60,0,0,1,0,1,20154.00
15.00,0,0,1,0,1,14056.00
50.00,0,0,1,0,1,42565.00
35.00,0,0,1,0,1,29190.00
12.00,0,0,1,0,1,12716.00
40.18,0,0,1,0,1,37935.00
110.98,0,0,1,0,1,71322.00
45.85,0,0,1,0,1,34653.00
137.00,0,0,1,0,1,70378.00
30.00,0,0,1,0,1,31907.00
60.00,0,0,1,0,1,59263.00
14.00,0,0,1,0,1,12330.00
25.00,0,0,1,0,1,17069.00
36.00,0,0,1,0,1,10097.00
10.00,0,0,0,1,1,10728.00
8.00,0,0,0,1,1,12943.00
6.33,0,0,0,1,1,6661.00
8.00,0,0,0,1,1,8601.00
8.27,0,0,0,1,1,18876.00
4.00,0,0,0,1,1,5090.00
8.00,0,0,0,1,1,27075.00
15.00,0,0,0,1,1,10140.00
50.00,0,0,0,1,1,22250.00
1.14,0,0,0,1,1,3424.00
5.00,0,0,0,1,1,3109.00
67.66,0,0,0,1,1,26612.00
24.00,0,0,0,1,1,21412.00
1.60,0,0,0,1,1,5231.00
3.57,0,0,0,1,1,3496.00
5.62,0,0,0,1,1,5422.00
28.00,0,0,0,1,1,9536.00
0.45,0,0,0,1,1,1788.00
17.00,0,0,0,1,1,13334.00
1.01,0,0,0,1,1,11977.00
5.60,0,0,0,1,1,3088.00
3.00,0,0,0,0,1,9644.00
6.50,0,0,0,1,1,6539.00
87.00,0,0,0,1,1,54677.00
7.90,0,0,0,1,1,7217.00
1.50,0,0,0,1,1,2805.00
7.76,0,0,0,1,1,4770.00
8.90,0,0,0,1,1,8756.00
5.07,0,0,0,1,1,5946.00
7.00,0,0,0,1,1,6556.00
5.00,0,0,0,1,1,14206.00
3.50,0,0,0,1,1,2275.00
16.00,0,0,0,1,1,15851.00
1.70,0,0,0,1,1,2206.00
2.00,0,0,0,1,1,7545.00
1.70,0,0,0,1,1,4351.00
1.42,0,0,0,1,1,7583.00
4.00,0,0,0,1,1,4331.00
17.00,0,0,0,1,1,10978.00
68.37,0,0,0,1,1,21661.00
10.00,0,0,0,1,1,16143.00
2.50,0,0,0,1,1,6521.00
1.60,0,0,0,1,1,1740.00
1.74,0,0,0,1,1,3394.00
25.00,0,0,0,1,1,11827.00
1.48,0,0,0,1,1,1752.00
70.00,0,0,0,1,1,24409.00
2.30,0,0,0,1,1,2108.00
3.00,0,0,0,1,1,8706.00
48.00,0,0,0,1,1,14602.00
30.00,0,0,0,1,1,12410.00
0.12,0,0,0,1,1,1018.00
8.00,0,0,0,1,1,12106.00
5.40,0,0,0,1,1,8325.00
4.00,0,0,0,1,1,5231.00
7.00,0,0,0,1,1,6854.00
7.00,0,0,0,1,1,8615.00
30.00,0,0,0,1,1,10374.00
2.00,0,0,0,1,1,2667.00
16.00,0,0,0,1,1,15831.00
40.00,0,0,0,1,1,19133.00
15.00,0,0,0,1,1,9245.00
7.00,0,0,0,1,1,9169.00
4.00,0,0,0,1,1,8336.00
4.00,0,0,0,1,1,1382.00
3.94,0,0,0,1,1,6233.00
6.00,0,0,0,1,1,4140.00
4.00,0,0,0,1,1,3424.00
1.50,0,0,0,1,1,3110.00
3.00,0,0,0,1,1,2407.00
2.00,0,0,0,1,1,2838.00
12.00,0,0,0,1,1,6915.00
1.00,0,0,0,1,1,3640.00
65.00,0,0,0,1,1,30601.00
4.00,0,0,0,1,1,2846.00
1.22,0,0,0,1,1,3737.00
4.00,0,0,0,1,1,2652.00
1.20,0,0,0,1,1,1527.00
20.00,0,0,0,1,1,41884.00
3.85,0,0,0,1,1,8759.00
5.40,0,0,0,1,1,5371.00
2.00,0,0,0,1,1,3353.00
3.00,0,0,0,1,1,5659.00
7.00,0,0,0,1,1,2193.00
273.40,0,1,0,0,1,189888.00
54.00,0,1,0,0,1,49071.00
100.00,0,1,0,0,1,51563.00
157.56,1,0,0,0,1,169259.00
110.00,1,0,0,0,1,78749.00
237.91,1,0,0,0,1,187220.00
283.26,1,0,0,0,1,148949.00
150.00,1,0,0,0,1,182235.00
200.00,1,0,0,0,1,104881.00
112.96,1,0,0,0,1,81919.00
110.00,1,0,0,0,1,107353.00
40.74,1,0,0,0,1,27012.00
205.00,1,0,0,0,1,207022.00
2.50,0,0,0,1,1,2782.00
6.00,0,0,0,0,1,15473.00
7.17,0,0,0,0,1,7915.00
15.00,0,0,0,0,1,6299.00
2.00,0,0,0,0,1,4339.00
2.74,0,0,0,0,1,3106.00
4.00,0,0,0,0,1,2214.00
0.11,0,0,0,0,1,3957.00
2.09,0,0,0,0,1,2972.00
5.00,0,0,0,0,1,4593.00
5.00,0,0,0,0,1,5504.00
5.00,0,0,0,0,1,3662.00
0.41,0,0,0,0,1,4585.00
